,RMSE,NRMSE,ND,MAPE,sMAPE,QuantileLoss,Quantile
0,2485.7307,0.987961420654249,0.09318809733891888,0.1197915627389244,0.13054168241400438,0.029472453849068502,0.1
1,2151.3513,0.8550612879305249,0.07768203352914524,0.10445559399496315,0.10682967824771052,0.04505350381422511,0.2
2,1978.2262,0.7862521684774266,0.07136142929441472,0.10033354897792864,0.09770897616471076,0.0556586460626969,0.3
3,1862.0228,0.7400667771695011,0.06815993116111954,0.10026883754873007,0.09373182616250787,0.06267320344565358,0.4
4,1772.3832,0.7044392194626271,0.06668755282814393,0.10276950312387101,0.0981393312905668,0.06668755282814393,0.5
5,1704.8884,0.6776132202843148,0.06645701014565332,0.10792640589949001,0.10340784901993727,0.06768763099392426,0.6
6,1650.5707,0.6560244616091921,0.06765158199590358,0.1160746964347227,0.10594016410732408,0.06536355699345263,0.7
7,1625.3413,0.6459969698081183,0.07112641526431958,0.12948812775419455,0.11193218055179072,0.05858917390693768,0.8
8,1692.3993,0.6726493743509608,0.08116502783496686,0.15778764923586197,0.12706999852547138,0.044210068547414834,0.90000004
